,cat1,cat2,cat3,brand_name
12954,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Lululemon
13006,HAN,Paper Goods,Papermaking,Others
13052,WOM,Athletic Apparel,Vests,Others
13099,VIN,Book,Other,Others
13101,ELE,Computers & Tablets,iPad,ASUS
13106,OTH,Musical instruments,Stringed Instruments,Others
13246,HAN,Glass,Bowls,Others
13294,WOM,Athletic Apparel,Snowsuits & Bibs,Others
13295,WOM,Women's Accessories,Belts,Lilly Pulitzer
13302,ELE,Cameras & Photography,Camcorders,Sony
13327,HAN,Crochet,Hat,Others
13329,WOM,Shoes,Sandals,Cole Haan
13422,WOM,Women's Handbags,Hobo,Michael Kors
13423,WOM,Women's Handbags,Cosmetic Bags,Dolce & Gabbana
13476,WOM,Jewelry,Earrings,Customized & Personalized
13483,WOM,Pants,Casual Pants,Lilly Pulitzer
13485,WOM,Women's Accessories,Belts,Versace
13504,VIN,Paper Ephemera,Postcard,Others
13517,MEN,Sweats & Hoodies,Track & Sweat Pants,The North Face
13523,KID,Pregnancy & Maternity,Breastfeeding Pillows & Stools,Others
13526,ELE,"TV, Audio & Surveillance",Home Audio,Others
13534,KID,Bathing & Skin Care,Bathing Tubs & Seats,Others
13555,WOM,Pants,Cargo,Others
13588,MEN,Other,Other,Burberry
13614,SPO,Outdoors,Hiking & Camping,Yeti
13639,WOM,Jewelry,Rings,Kate Spade
13651,KID,Strollers,Travel Systems,Others
13708,ELE,Computers & Tablets,"Printers, Scanners & Supplies",HP
13733,MEN,Shorts,"Khakis, Chinos",Others
13742,WOM,Athletic Apparel,Shirts & Tops,The North Face
13765,VIN,Bags and Purses,Handbag,Coach
13780,WOM,Shoes,Pumps,Tory Burch
13802,ELE,Computers & Tablets,Desktops & All-In-Ones,Dell
13816,WOM,Other,Other,Louis Vuitton
13833,WOM,Women's Accessories,Scarves & Wraps,lululemon athletica
13839,MEN,Sweats & Hoodies,Track & Sweat Pants,lululemon athletica
13841,WOM,Dresses,"Above Knee, Mini",LF
13854,MEN,Sweaters,Full Zip,Gymshark
13904,WOM,Women's Accessories,Other,Coach
13936,WOM,Skirts,Full Skirt,LuLaRoe
13961,KID,Boys (4+),Shoes,Jordans
13963,WOM,Athletic Apparel,"Pants, Tights, Leggings",Lilly Pulitzer
13974,WOM,Sweaters,Sweatercoat,Others
13992,VIN,Bags and Purses,Change Purse,Others
13995,MEN,Tops,T-shirts,Jordan
14043,WOM,Jewelry,Necklaces,Tory Burch
14052,WOM,Coats & Jackets,Trench,LuLaRoe
14057,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Supreme
14090,WOM,Athletic Apparel,Tracksuits & Sweats,Lululemon
14120,VIN,Bags and Purses,Luggage,Michael Kors
14156,ELE,Cameras & Photography,Digital Cameras,Logitech
14183,ELE,Video Games & Consoles,Consoles,Microsoft
14227,WOM,Swimwear,Two-Piece,LF
14281,KID,Girls 2T-5T,Swimwear,Others
14283,OTH,Books,Politics & Social Sciences,Others
14288,WOM,Swimwear,Two-Piece,Lilly Pulitzer
14360,SPO,Apparel,Boys,Adidas
14370,MEN,Coats & Jackets,Parka,Others
14404,WOM,Women's Handbags,Totes & Shoppers,Lululemon
14441,MEN,Men's Accessories,Sunglasses,Prada
14484,MEN,Shoes,Fashion Sneakers,Jordans
14521,WOM,Women's Handbags,Hobo,Coach
14548,WOM,Tops & Blouses,T-Shirts,Disney Collection
14552,NOI,no_info,no_info,PUMA
14569,MEN,Athletic Apparel,Pants,Others
14576,VIN,Bags and Purses,Formal,Others
14675,VIN,Toy,Children,Others
14776,WOM,Shoes,Sandals,Kate Spade
14792,WOM,Athletic Apparel,"Pants, Tights, Leggings",Disney Collection
14849,WOM,Women's Handbags,Messenger & Crossbody,kate spade new york
14859,VIN,Accessories,Keychain,Fossil
14894,WOM,Shoes,Boots,Coach
14916,WOM,Sweaters,Cardigan,LF
14924,HAN,Paper Goods,Bookmark,Others
14997,VIN,Antique,Jewelry,Others
15037,HOM,Kitchen & Dining,Water Coolers & Filters,Lilly Pulitzer
15046,WOM,Underwear,Bras,Free People
15075,WOM,Skirts,Full Skirt,Others
15086,WOM,Jeans,"Capri, Cropped",True Religion Brand Jeans
15090,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",Lululemon
15125,KID,Girls 0-24 Mos,Coats & Jackets,The North Face
15159,WOM,Shoes,Sandals,Lilly Pulitzer
15175,HOM,Home Appliances,Washers & Dryers,Others
15192,MEN,Sweaters,Full Zip,Others
15211,WOM,Women's Handbags,Messenger & Crossbody,Dooney & Bourke
15213,MEN,Men's Accessories,Hats,Gucci
15220,MEN,Men's Accessories,Sunglasses,Cartier
15229,WOM,Jewelry,Bracelets,Stamped
15246,WOM,Swimwear,Two-Piece,Lululemon
15311,SPO,Fan Shop,Other,Others
15328,WOM,Jeans,Leggings,Customized & Personalized
15372,HOM,Home Appliances,Air Purifiers,Others
15423,WOM,Skirts,Mini,Free People
15451,KID,Health & Baby Care,Teethers,Others
15550,WOM,Women's Handbags,Backpack Style,Chanel
15603,WOM,Coats & Jackets,Raincoat,Lululemon
15644,ELE,"Car Audio, Video & GPS",GPS Units & Equipment,Others
15702,HOM,Bedding,"Decorative Pillows, Inserts & Covers",Others
15766,MEN,Shoes,Slippers,UGG Australia
15784,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",LuLaRoe
15793,KID,Feeding,Pillows & Stools,Others
15798,HOM,Kitchen & Dining,Kitchen Knives & Cutlery Accessories,Others
15806,WOM,Underwear,Thermal Underwear,Others
15826,HAN,Music,Poster,Others
15859,MEN,Blazers & Sport Coats,Two Button,Others
15863,OTH,Magazines,Other,Others
15902,WOM,Shoes,Loafers & Slip-Ons,Birkenstock
15905,WOM,Sweaters,Shrug,Others
15942,WOM,Coats & Jackets,Raincoat,L.L. Bean
15951,MEN,Coats & Jackets,Windbreaker,PUMA
15971,WOM,Women's Handbags,Totes & Shoppers,Gucci
16002,WOM,Athletic Apparel,Shirts & Tops,PUMA
16018,KID,Toys,Action Figures & Statues,tokidoki
16097,WOM,Athletic Apparel,Sports Bras,Adidas
16098,WOM,Shoes,Pumps,Sam Edelman
16200,WOM,Shoes,Fashion Sneakers,Michael Kors
16280,WOM,Suits & Blazers,Dress Suit,Others
16315,MEN,Tops,T-shirts,patagonia
16345,WOM,Tops & Blouses,Knit Top,Tory Burch
16400,WOM,Women's Handbags,Satchel,Tory Burch
16422,OTH,Books,Religion & Spirituality,Others
16453,MEN,Sweaters,Crewneck,Adidas
16456,KID,Nursery,Nursery Décor,Others
16457,WOM,Women's Handbags,Cosmetic Bags,Louis Vuitton
16480,KID,Toys,Novelty & Gag Toys,Others
16498,SPO,Apparel,Boys,Jordan
16504,HOM,Storage & Organization,"Racks, Shelves & Drawers",Others
16535,WOM,Sweaters,"Vest, Sleeveless",Others
16592,MEN,Shoes,Athletic,adidas Originals
16597,BEA,Fragrance,Men,Givenchy
16621,VIN,Collectibles,Porcelain,Others
16624,HOM,Home Appliances,Kitchen Appliances,KitchenAid
16703,OTH,Pet Supplies,Cage,Others
16746,MEN,Tops,T-shirts,A Bathing Ape
16783,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",LG
16831,VIN,Book,Fiction,Others
16833,WOM,Shoes,Loafers & Slip-Ons,Adidas
16844,WOM,Women's Accessories,Watches,Independent
16969,WOM,Women's Handbags,Satchel,kate spade new york
16986,WOM,Tops & Blouses,T-Shirts,Independent
16989,SPO,Golf,Golf Balls,Others
17026,NOI,no_info,no_info,Lilly Pulitzer
17064,WOM,Shoes,Sandals,UGG Australia
17088,BEA,Skin Care,Maternity,Others
17090,VIN,Accessories,Keychain,Kate Spade
17114,MEN,Coats & Jackets,Military,Others
17178,HAN,Art,Print,Others
17180,WOM,Women's Handbags,Backpack Style,Kate Spade
17187,WOM,Pants,Other,LF
17200,VIN,Supplies,Yarn,Others
17224,WOM,Skirts,Other,LuLaRoe
17284,MEN,Shoes,Fashion Sneakers,Yeezy
17340,HAN,Paper Goods,Gift Wrap,Others
17354,SPO,Exercise,Fitness accessories,Gymshark
17377,WOM,Women's Handbags,Hobo,Madewell
17446,MEN,Athletic Apparel,Shorts,Jordan
17452,WOM,Athletic Apparel,Shorts,Oakley
17459,WOM,Women's Accessories,Wallets,Burberry
17490,WOM,Women's Accessories,Sunglasses,Coach
17553,HAN,Pets,Bed,Others
17581,MEN,Men's Accessories,Belts,Michael Kors
17586,WOM,Sweaters,Sweatercoat,Independent
17593,MEN,Athletic Apparel,Pants,Gymshark
17630,ELE,Video Games & Consoles,Video Gaming Merchandise,Sony
17747,WOM,Tops & Blouses,T-Shirts,The North Face
17783,VIN,Bags and Purses,Wallet,Lilly Pulitzer
17847,WOM,Shoes,Boots,Vince Camuto
17859,SPO,Outdoors,Water Sports,Others
17875,WOM,Jewelry,Bracelets,Tory Burch
17901,BEA,Makeup,Eyes,Chanel
17920,HAN,Glass,Sculptures,Others
17931,MEN,Shoes,Fashion Sneakers,Gucci
17945,SPO,Team Sports,Baseball & Softball,Rawlings
17961,WOM,Athletic Apparel,Shorts,A Bathing Ape
18030,VIN,Jewelry,Ring,Stamped
18094,WOM,Shoes,Flats,Salvatore Ferragamo
18120,WOM,Pants,Leather,Others
18130,MEN,Tops,T-shirts,LuLaRoe
18132,WOM,Women's Handbags,Shoulder Bag,Cole Haan
18201,ELE,Cameras & Photography,Lenses & Filters,Canon
18327,WOM,Women's Accessories,Hats,Timberland
18329,MEN,Men's Accessories,Watches,Burberry
18355,WOM,Shoes,Work & Safety,Dansko
18362,WOM,Skirts,Other,Others
18385,WOM,Tops & Blouses,Blouse,Lilly Pulitzer
18398,ELE,Computers & Tablets,Laptops & Netbooks,Logitech
18419,HOM,Artwork,Other,Others
18472,WOM,Women's Handbags,Messenger & Crossbody,Madewell
18478,WOM,Tops & Blouses,Wrap,Independent
18487,HOM,Kitchen & Dining,Kitchen & Table Linens,KitchenAid
18561,SPO,Apparel,Other,Others
18607,HOM,Furniture,Bedroom Furniture,Others
18624,VIN,Book,Crafting,Others
18634,ELE,"TV, Audio & Surveillance",Televisions,AmazonBasics
18722,OTH,Office supplies,Ink & Toner,Others
18777,WOM,Dresses,"Above Knee, Mini",Lululemon
18787,KID,Health & Baby Care,Nasal Aspirators,Others
18797,WOM,Dresses,Asymmetrical Hem,Customized & Personalized
18799,OTH,Automotive,Car Care,Others
18859,WOM,Sweaters,Other,Independent
18864,MEN,Men's Accessories,Hats,Nintendo
18879,MEN,Sweats & Hoodies,Hoodie,Adidas
18910,KID,Boys 0-24 Mos,Shoes,The North Face
18948,KID,Health & Baby Care,Toothbrushes,Others
18954,HOM,Bedding,Mattress Pads,Others
18978,ELE,Computers & Tablets,Other,Others
18999,WOM,Dresses,Knee-Length,Disney Collection
19023,WOM,Jewelry,Rings,Tiffany & Co.
19073,WOM,Jeans,Relaxed,Dolce & Gabbana
19083,WOM,Shoes,Boots,Kate Spade
19084,WOM,Athletic Apparel,Shirts & Tops,Independent
19099,WOM,Tops & Blouses,T-Shirts,Madewell
19140,MEN,Men's Accessories,Sunglasses,Versace
19144,WOM,Women's Accessories,Other,Lilly Pulitzer
19154,HAN,Accessories,Wallet,Others
19306,MEN,Athletic Apparel,Socks,Jordan
19326,WOM,Women's Handbags,Hobo,Cole Haan
19335,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",The North Face
19344,WOM,Tops & Blouses,"Tank, Cami",ASICS
19345,HAN,Weddings,Decorations,Others
19367,ELE,Cell Phones & Accessories,Headsets,M
19452,WOM,Jewelry,Earrings,MARC BY MARC JACOBS
19494,WOM,Women's Accessories,Hats,Gucci
19516,WOM,Tops & Blouses,Blouse,Chanel
19613,VIN,Toy,Electronic,Bandai
19778,MEN,Tops,T-shirts,PUMA
19840,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",Beats
19866,WOM,Women's Accessories,Hair Accessories,Adidas
19877,WOM,Jewelry,Earrings,Michael Kors
19882,WOM,Women's Handbags,Totes & Shoppers,Louis Vuitton
19901,MEN,Shoes,Slippers,Others
19908,BEA,Fragrance,Women,Givenchy
19947,WOM,Shoes,Athletic,Jordan
20072,MEN,Shoes,Fashion Sneakers,PUMA
20075,HOM,Seasonal Décor,Patriotic,Others
20080,MEN,Sweaters,Cardigan,Others
20136,KID,Health & Baby Care,Humidifiers & Vaporizers,Others
20153,SPO,Golf,Golf Apparel,Others
20159,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,Logitech
20162,WOM,Athletic Apparel,Shirts & Tops,Yeezy
20226,WOM,Jewelry,Rings,Silpada
20264,WOM,Women's Accessories,Belts,Louis Vuitton
20339,WOM,Women's Accessories,Sunglasses,Christian Dior
20369,WOM,Athletic Apparel,Jackets,lululemon athletica
20386,VIN,Bags and Purses,Luggage,Louis Vuitton
20445,MEN,Sweats & Hoodies,Track & Sweat Pants,Lululemon
20489,VIN,Antique,Housewares,Others
20572,WOM,Shoes,Flats,UGG Australia
20574,WOM,Coats & Jackets,Military,Michael Kors
20590,HAN,Glass,Other,Others
20591,HAN,Holidays,Birthday,Others
20610,KID,Toys,Hobbies,Spin Master
20619,WOM,Dresses,Mid-Calf,Madewell
20686,WOM,Jewelry,Bracelets,Lilly Pulitzer
20753,SPO,Exercise,Track & Field,Others
20798,WOM,Athletic Apparel,Jackets,adidas Originals
20800,WOM,Shoes,Flats,Gucci
20813,HOM,Kitchen & Dining,Storage & Organization,Rae Dunn
20849,HAN,Paper Goods,Journal,Others
20874,WOM,Athletic Apparel,Shorts,The North Face
20963,MEN,Jeans,"Classic, Straight Leg",True Religion
20994,VIN,Trading Cards,Other,Others
21085,SPO,Exercise,Strength training,Others
21204,VIN,Toy,Puzzle,Others
21210,MEN,Coats & Jackets,Fleece Jacket,Others
21229,HOM,Bath,Other,Others
21289,BEA,Skin Care,Face,Chanel
21294,WOM,Shoes,Flats,Chanel
21367,NOI,no_info,no_info,Jordans
21395,HOM,Home Décor,Decorative Pillows,Pottery Barn
21489,KID,Boys (4+),Swimwear,Others
21536,VIN,Book,Children,Others
21579,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Michael Kors
21693,WOM,Women's Handbags,Shoulder Bag,Saint Laurent
21712,WOM,Coats & Jackets,Other,True Religion
21719,BEA,Fragrance,Men,Dolce & Gabbana
21724,WOM,Tops & Blouses,Blouse,Kate Spade
21746,HOM,Home Appliances,Microwaves,Others
21796,WOM,Pants,Other,Independent
21819,KID,Boys 2T-5T,Accessories,Others
21825,WOM,Women's Handbags,Other,Tory Burch
21919,WOM,Tops & Blouses,Blouse,patagonia
21933,SPO,Outdoors,Skateboard,Adidas
21938,BEA,Hair Care,Hair Loss Products,Others
21950,MEN,Pants,Dress - Pleat,Others
21961,WOM,Jewelry,Rings,Michael Kors
21963,WOM,Tops & Blouses,T-Shirts,Lilly Pulitzer
22062,MEN,Shoes,Sandals,Versace
22071,MEN,Athletic Apparel,Shorts,Lululemon
22117,WOM,Women's Accessories,Watches,Dooney & Bourke
22179,HAN,Art,Other,Others
22234,WOM,Women's Accessories,Hair Accessories,Customized & Personalized
22244,BEA,Makeup,Makeup Palettes,Christian Dior
22247,HAN,Art,Illustration,Others
22267,MEN,Shorts,Casual Shorts,Lululemon
22288,NOI,no_info,no_info,Chanel
22297,MEN,Jeans,Boot Cut,True Religion Brand Jeans
22337,SPO,Golf,Other,Others
22363,VIN,Paper Ephemera,Other,Others
22408,KID,Girls 0-24 Mos,One-Pieces,adidas Originals
22430,ELE,"TV, Audio & Surveillance",Portable Audio & Accessories,Beats
22568,ELE,Video Games & Consoles,Strategy Guides,Others
22583,ELE,Cell Phones & Accessories,Cell Phone Accessories,Beats
22674,VIN,Collectibles,Porcelain,Tiffany & Co.
22772,WOM,Dresses,Knee-Length,Michael Kors
22777,MEN,Men's Accessories,Belts,DIESEL
22802,VIN,Electronics,Video Game,Microsoft
22834,MEN,Tops,"Polo, Rugby",Burberry Brit
22890,VIN,Accessories,Other,Justin
22894,MEN,Tops,Other,Timberland
22904,MEN,Shoes,Oxfords,Others
22923,ELE,Computers & Tablets,"Printers, Scanners & Supplies",Others
23058,MEN,Athletic Apparel,Jerseys,Wilson
23099,VIN,Book,Poetry,Others
23249,WOM,Jewelry,Earrings,Lilly Pulitzer
23290,VIN,Trading Cards,"Historical, Military",Others
23302,BEA,Fragrance,Men,Christian Dior
23322,OTH,Musical instruments,"DJ, Electronic Music & Karaoke",Others
23326,MEN,Tops,T-shirts,Rock Revival
23365,HAN,Bags and Purses,Backpack,Others
23367,MEN,Sweaters,Other,DIESEL
23373,WOM,Shoes,Sandals,MARC BY MARC JACOBS
23376,WOM,Dresses,Knee-Length,Sherri Hill
23464,HAN,Crochet,Other,Others
23489,ELE,"Car Audio, Video & GPS",Car Speakers & Systems,Others
23550,WOM,Sweaters,Crewneck,UNIF
23644,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Others
23732,WOM,Athletic Apparel,Jackets,Michael Kors
23770,MEN,Men's Accessories,Hats,Adidas
23795,WOM,Women's Accessories,Wallets,Lilly Pulitzer
23839,BEA,Makeup,Eyes,Christian Dior
23928,ELE,Computers & Tablets,iPad,Logitech
24040,WOM,Women's Handbags,Messenger & Crossbody,True Religion Brand Jeans
24051,HAN,Pets,Feeding,Others
24093,SPO,Outdoors,Hiking & Camping,The North Face
24176,HOM,Bedding,Other,Others
24259,MEN,Men's Accessories,Wallets,Gucci
24507,VIN,Serving,Salt and Pepper Shakers,Others
24530,WOM,Shoes,Fashion Sneakers,Chanel
24686,MEN,Men's Accessories,Hats,Timberland
24696,ELE,Cameras & Photography,Camera & Photo Accessories,Nikon
24697,HOM,Cleaning Supplies,Paper Towels,Others
24732,HOM,Home Appliances,Air Conditioners,Others
24750,WOM,Tops & Blouses,Blouse,Burberry
24797,WOM,Pants,Other,Michael Kors
24918,WOM,Tops & Blouses,T-Shirts,True Religion Brand Jeans
24944,WOM,Women's Accessories,Hair Accessories,lululemon athletica
24969,MEN,Jeans,Overalls,Others
24996,WOM,Shoes,Fashion Sneakers,Jordans
25016,ELE,"Car Audio, Video & GPS",Car Stereos & Components,Sony
25145,HOM,Bedding,Bed Pillows,Kate Spade
25252,WOM,Shoes,Boots,The North Face
25278,HOM,Kitchen & Dining,Bakeware,KitchenAid
25350,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Bose
25366,BEA,Makeup,Makeup Sets,Christian Dior
25411,WOM,Coats & Jackets,Windbreaker,The North Face
25503,ELE,Computers & Tablets,Laptops & Netbooks,Microsoft
25518,WOM,Women's Handbags,Satchel,Gucci
25556,VIN,Supplies,Other,Others
25583,BEA,Makeup,Eyes,Tom Ford
25596,MEN,Men's Accessories,Hats,patagonia
25685,WOM,Tops & Blouses,Blouse,Lululemon
25770,MEN,Pants,Cargo,Others
25772,WOM,Jeans,"Slim, Skinny",Madewell
25795,WOM,Coats & Jackets,Motorcycle,Free People
25841,KID,Pregnancy & Maternity,Other,Others
25863,HOM,Home Appliances,Irons & Ironing Boards,Others
25920,WOM,Jeans,Flare,Free People
25931,WOM,Women's Handbags,Totes & Shoppers,Lilly Pulitzer
25932,WOM,Dresses,Other,Free People
25951,OTH,Books,Science & Math,Others
26133,MEN,Pants,Other,Others
26147,WOM,Tops & Blouses,Other,Wildfox Couture
26151,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",LF
26185,MEN,Men's Accessories,Hats,Versace
26247,MEN,Tops,Other,True Religion Brand Jeans
26283,WOM,Jewelry,Earrings,Versace
26485,BEA,Hair Care,Hair Relaxers,Others
26489,BEA,Makeup,Eyes,Georgio Armani
26620,VIN,Electronics,Camera,Canon
26648,WOM,Women's Handbags,Satchel,Rebecca Minkoff
26740,BEA,Tools & Accessories,Other,Others
26746,WOM,Suits & Blazers,Blazer,Chanel
26755,WOM,Coats & Jackets,Military,Free People
26765,HOM,Home Appliances,Kitchen Appliances,Magic Bullet
26821,MEN,Shorts,"Board, Surf",Supreme
26831,WOM,Jewelry,Bracelets,Silpada
26844,HAN,Weddings,Accessories,Others
26870,WOM,Other,Other,PUMA
26874,WOM,Athletic Apparel,Shorts,Miss Me
26945,WOM,Other,Other,kate spade new york
26978,VIN,Jewelry,Pendant,Chanel
26992,KID,Strollers,Accessories,All
26993,ELE,Video Games & Consoles,Replacement Parts & Tools,Others
27018,MEN,Coats & Jackets,Puffer,Others
27079,WOM,Women's Handbags,Hobo,Dooney & Bourke
27117,WOM,Shoes,Boots,Louis Vuitton
27123,HAN,Toys,Children,Others
27127,WOM,Shoes,Pumps,Dolce & Gabbana
27146,SPO,Outdoors,Snowboard,Oakley
27193,BEA,Makeup,Other,Others
27203,MEN,Coats & Jackets,Puffer,The North Face
27209,WOM,Women's Handbags,Other,Gucci
27251,WOM,Tops & Blouses,"Tank, Cami",Miss Me
27254,WOM,Sweaters,Wrap,Lululemon
27286,MEN,Athletic Apparel,Tracksuits & Sweats,Others
27367,MEN,Pants,Other,Adidas
27379,BEA,Skin Care,Sun,SeneGence
27382,HOM,Home Décor,Candles & Holders,Pottery Barn
27450,HOM,Cleaning Supplies,Gloves,Others
27488,WOM,Women's Accessories,Sunglasses,Tiffany & Co.
27520,WOM,Dresses,"Above Knee, Mini",Vince Camuto
27667,KID,Boys 2T-5T,Shoes,Jordans
27711,HAN,Accessories,Belt,Others
27824,VIN,Jewelry,Pendant,Stamped
27854,HOM,Cleaning Supplies,Mopping,Others
27858,VIN,Serving,Salt and Pepper Shakers,Lilly Pulitzer
27887,WOM,Women's Handbags,Baguette,Others
27933,MEN,Athletic Apparel,Socks,Jordans
28009,WOM,Dresses,"Above Knee, Mini",Michael Kors
28046,WOM,Shoes,Oxfords,Dr. Martens
28061,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",PUMA
28073,MEN,Men's Accessories,Wallets,Versace
28089,WOM,Sweaters,Hooded,PUMA
28098,WOM,Coats & Jackets,Peacoat,Michael Kors
28140,WOM,Tops & Blouses,T-Shirts,Louis Vuitton
28210,MEN,Sweats & Hoodies,Hoodie,Gucci
28212,HAN,Woodworking,Signs,Others
28286,MEN,Men's Accessories,Belts,Jordan
28299,MEN,Shoes,Athletic,Yeezy
28303,WOM,Women's Handbags,Shoulder Bag,Rebecca Minkoff
28373,VIN,Supplies,Cabochon,Others
28453,ELE,"Car Audio, Video & GPS",Car Stereos & Components,Others
28552,VIN,Housewares,Glass,Others
28563,HAN,Pets,Clothing,Others
28570,VIN,Electronics,Camera,Samsung
28587,MEN,Tops,Button-Front,Prada
28591,OTH,Daily & Travel items,Other,Others
28603,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Michael Kors
28675,HAN,Paper Goods,Calendar,Others
28696,WOM,Women's Handbags,Satchel,Fendi
28742,WOM,Other,Other,Dooney & Bourke
28802,MEN,Coats & Jackets,Trench,Others
28836,WOM,Maternity,Sweaters,Others
28862,MEN,Jeans,Boot Cut,Ariat
28940,MEN,Men's Accessories,Watches,Customized & Personalized
28998,WOM,Sweaters,Hooded,True Religion Brand Jeans
29005,MEN,Tops,T-shirts,Burberry Brit
29018,HAN,Paper Goods,Other,Others
29090,MEN,Tops,T-shirts,Gucci
29240,KID,Gear,Backpacks & Carriers,All
29276,VIN,Housewares,Other,Others
29281,KID,Health & Baby Care,Nasal Aspirators,Graco
29305,MEN,Men's Accessories,Hats,Bape
29315,WOM,Women's Handbags,Messenger & Crossbody,Lululemon
29354,HOM,Home Décor,Lamps& Accessories,Pottery Barn
29437,WOM,Athletic Apparel,Jackets,Free People
29465,WOM,Other,Other,Tory Burch
29527,WOM,Women's Handbags,Backpack Style,Dooney & Bourke
29540,WOM,Women's Handbags,Cosmetic Bags,Fossil
29575,NOI,no_info,no_info,Stamped
29709,WOM,Shoes,Pumps,Vince Camuto
29825,WOM,Pants,Casual Pants,LuLaRoe
29827,VIN,Accessories,Keychain,Michael Kors
29867,WOM,Jewelry,Rings,Cartier
29871,BEA,Tools & Accessories,Epilators,Others
29892,WOM,Women's Accessories,Wallets,kate spade new york
29927,WOM,Shoes,Fashion Sneakers,UGG Australia
29946,WOM,Tops & Blouses,Blouse,Tory Burch
29993,WOM,Athletic Apparel,Other,adidas Originals
30090,VIN,Jewelry,Watch,Others
30094,WOM,Women's Handbags,Backpack Style,Independent
30134,WOM,Jewelry,Rings,Swarovski
30262,HOM,Storage & Organization,Laundry Storage & Organization,Pottery Barn
30317,KID,Toys,Dolls & Accessories,Spin Master
30355,WOM,Shoes,Boots,rag & bone
30360,WOM,Women's Accessories,Sunglasses,MARC BY MARC JACOBS
30373,ELE,"TV, Audio & Surveillance",Televisions,Apple
30389,HAN,Needlecraft,Cross Stitch,Others
30399,WOM,Swimwear,Cover-Ups,Lilly Pulitzer
30549,KID,Gear,"Swings, Jumpers & Bouncers",Graco
30562,MEN,Swimwear,Swim Briefs,Others
30584,SPO,Outdoors,Skateboard,Supreme
30595,WOM,Shoes,Mules & Clogs,UGG Australia
30631,WOM,Skirts,Mini,Lululemon
30641,MEN,Athletic Apparel,Vests,Others
30661,KID,Girls (4+),Jeans,Miss Me
30684,WOM,Women's Handbags,Cosmetic Bags,Lululemon
30714,VIN,Serving,Mug,Rae Dunn
30728,WOM,Jewelry,Necklaces,kate spade new york
30740,WOM,Jeans,"Slim, Skinny",Free People
30859,WOM,Shoes,Boots,UGG
30890,WOM,Women's Accessories,Wallets,MARC BY MARC JACOBS
30922,VIN,Home Decor,Vase,Others
31017,MEN,Shoes,Fashion Sneakers,UGG Australia
31027,KID,Boys 0-24 Mos,Coats & Jackets,The North Face
31084,WOM,Pants,Dress Pants,Lilly Pulitzer
31115,BEA,Hair Care,Other,Others
31118,MEN,Shoes,Boots,Dr. Martens
31159,WOM,Women's Accessories,Hats,The North Face
31178,WOM,Tops & Blouses,Blouse,Miss Me
31224,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Logitech
31255,WOM,Women's Handbags,Messenger & Crossbody,Independent
31272,VIN,Jewelry,Pendant,PANDORA
31306,OTH,Musical instruments,Bass Guitars,Others
31360,ELE,Video Games & Consoles,Games,Apple
31371,NOI,no_info,no_info,Garmin
31593,HOM,Bedding,"Decorative Pillows, Inserts & Covers",Pottery Barn
31596,WOM,Jeans,Flare,True Religion
31646,KID,Safety,Harnesses & Leashes,Others
31688,WOM,Swimwear,One-Piece,Acacia Swimwear
31755,WOM,Tops & Blouses,T-Shirts,Christian Louboutin
31981,VIN,Clothing,Baby,Others
32018,WOM,Women's Accessories,Hats,UNIF
32041,WOM,Jewelry,Necklaces,Coach
32207,WOM,Women's Handbags,Shoulder Bag,Lululemon
32238,WOM,Tops & Blouses,T-Shirts,Burberry
32291,SPO,Golf,Golf Apparel,Adidas
32295,VIN,Home Decor,Wall Hanging,Others
32330,ELE,Computers & Tablets,Desktops & All-In-Ones,HP
32463,VIN,Bags and Purses,Clutch,Coach
32465,WOM,Women's Accessories,Hats,Burton
32635,KID,Girls 2T-5T,Coats & Jackets,Burberry
32722,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Gucci
32727,WOM,Dresses,Mid-Calf,adidas Originals
32730,WOM,Shoes,Other,Dr. Martens
32745,WOM,Dresses,Mid-Calf,Customized & Personalized
32766,SPO,Fan Shop,NCAA,Adidas
32775,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,M
32822,WOM,Jewelry,Rings,Free People
32845,HOM,Home Décor,Decorative Pillows,Rae Dunn
32968,HOM,Home Décor,Window Treatments,Pottery Barn
33056,HAN,Bags and Purses,Pouch,Others
33150,ELE,Video Games & Consoles,Video Gaming Merchandise,Microsoft
33152,MEN,Sweaters,Vest,Others
33166,WOM,Women's Handbags,Totes & Shoppers,Fossil
33238,MEN,Athletic Apparel,Socks,Air Jordan
